학교명,급식일자,급식인원수,칼로리정보,탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg),menu_list
가경초등학교,20250102,372,658.1,81.7,33.8,20.8,143.1,0.7,0.8,6.7,309.1,2.6,"['친환경 찹쌀밥', '들깨가루미역국', '오향장육/무쌈', '실곤약야채무침', '배추김치', '새해복케이크', '일반우유']"
가경초등학교,20250103,372,620.2,80.8,37.1,13.8,54.4,0.4,0.5,18.8,147.0,2.1,"['친환경 발아현미밥', '누룽지닭백숙', '삼치엿장조림', '청태볶음', '깍두기', '가공유', '파인애플']"
가경초등학교,20250106,372,769.3,108.0,30.4,23.6,134.3,0.7,0.7,11.3,344.0,9.2,"['자장밥', '버섯두부된장국', '치킨꿔바로우', '배추김치', '일반우유', '유산균 요구르트']"
가경초등학교,20250107,372,616.2,79.7,36.1,16.1,215.4,0.8,0.6,55.4,315.4,3.7,"['친환경 기장밥', '꼬들오이&무채장아찌', '닭카레볶음', '배추김치', '고칼슘우유', '딸기', '돼지고기김치찌개']"
가경초등학교,20250304,327,531.4,61.7,28.8,17.5,125.7,0.5,0.5,5.4,100.9,2.8,"['친환경 찹쌀밥', '새송이메추리알장조림', '허브치킨플레로티', '깍두기', '샤인머스켓', '돼지고기김치찌개']"
가경초등학교,20250305,327,638.3,87.3,25.0,19.7,92.2,0.5,0.4,11.0,144.9,4.4,"['오므라이스', '쇠고기미역국', '쫀득이복만두', '계란지단/케첩', '배추김치', '새학기 럭키케이크']"
가경초등학교,20250306,327,589.9,94.0,20.2,13.8,72.3,0.4,0.4,58.0,86.9,7.9,"['친환경 기장밥', '낙지감자국', '콩나물무침', '돈등심탕수육/소스', '배추김치', '딸기']"
가경초등학교,20250307,327,581.8,72.9,26.7,19.2,64.4,0.7,0.5,10.6,95.9,2.4,"['친환경 발아현미밥', '계란실파국', '돼지갈비찜', '사과봄동겉절이', '깍두기', '배']"
가경초등학교,20250310,327,529.5,73.4,30.3,11.5,114.1,0.4,0.3,21.7,124.8,2.1,"['친환경 흑미밥', '시래기된장국', '진미채볶음', '치킨데리소스구이', '배추김치', '파인애플']"
가경초등학교,20250311,327,678.9,94.9,35.6,16.4,72.3,0.3,0.3,11.8,319.2,3.5,"['친환경 귀리밥', '얼갈이된장무침', '광어까스/감귤타르타르', '깍두기', '크림슨 포도', '참치김치찌개']"
가경초등학교,20250312,327,716.3,90.8,22.3,29.0,167.4,0.3,0.5,28.4,225.5,2.4,"['베이컨볶음밥', '미트볼 투움바 파스타', '버섯두부된장국', '배추김치', '스위트 애플망고 주스']"
가경초등학교,20250313,327,625.0,89.6,22.4,19.9,134.0,0.7,0.5,35.5,148.1,3.5,"['친환경 차수수밥', '감자옹심이국', '세발나물무침', '숯불맛 오리불고기', '깍두기', '오렌지']"
가경초등학교,20250314,327,533.0,70.4,34.7,11.1,117.8,0.8,0.7,12.2,196.4,2.9,"['친환경 현미찹쌀밥', '근대된장국', '오향장육/무쌈', '멸치찹쌀콩볶음', '배추김치', '스테비아 방울토마토']"
